frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
643.0,306.17307,828.9231,42.28568,79,1488.1776,891.4342,29.63816,14351
700.0,460.0408,696.61224,0,43,983.26874,868.3125,13.3035555,41021
701.0,458.01492,692.4627,4.617666,43,971.11365,876.4773,14.642749,41345
702.0,456.67743,690.5806,2.3089209,46,960.05,868.25,13.78742,41654
703.0,453.0,692.4857,4.1416006,43,967.1878,853.1269,16.722942,41906
704.0,440.7447,684.8936,14.416402,77,906.66,882.435,67.25015,41741
705.0,436.3846,689.2308,6.149895,74,890.30304,886.0,16.740923,42066
706.0,426.88235,679.5294,13.579735,77,899.7398,894.2602,12.541266,42429
707.0,423.07318,681.95123,4.513866,51,878.90216,881.788,24.285027,42600
708.0,357.4054,739.17566,55.00535,466,865.22925,884.6195,13.9630165,42547
709.0,402.9079,732.5526,45.98198,1040,859.1878,880.8731,7.108765,42716
710.0,454.47458,729.1525,51.678654,1249,837.4648,881.95776,21.750086,42766
711.0,494.22974,732.8919,39.930634,1726,807.0536,887.7054,30.94957,42596
712.0,532.7288,721.11865,40.259026,1912,791.4425,892.5398,16.342505,42615
713.0,560.46,717.0,28.035385,1947,758.16113,893.3886,33.292194,42392
717.0,395.54794,690.5753,3.6280136,4,725.10236,911.87006,26.666126,41754
1883.0,368.45,696.6,0,236,298.42682,768.9878,17.670254,12
2026.0,996.59375,876.1875,33.61662,7678,283.6138,767.5241,36.543716,79
2027.0,993.56,881.28,5.92769,8157,314.89743,781.10254,34.103363,420
2028.0,1006.8947,845.9211,37.78981,8301,330.675,779.475,15.861282,764
2029.0,996.77026,867.4459,23.78704,8569,387.8,765.0,58.930386,1179
2030.0,1019.25,841.8333,34.078503,8482,418.58426,774.67413,32.268562,2046
2031.0,1016.6949,856.22034,14.612155,8688,455.04544,765.98865,37.4814,2807
2032.0,1016.67694,827.26154,28.958807,8402,482.08334,775.0,28.500048,3765
2033.0,1017.3134,833.9552,6.7238564,8603,518.2,760.1,39.069485,4842
2034.0,1024.7368,838.2632,8.582867,8628,526.80554,755.5,9.757813,5428
2035.0,1013.07043,859.39435,24.137743,8353,578.4074,752.62964,51.681637,5647
2036.0,1030.56,863.48,17.960493,8159,591.7683,758.8171,14.724064,5919
2037.0,1032.8,851.12,12.561322,8247,616.2651,747.253,27.089104,5985
2038.0,1037.8,856.08,7.0428557,8174,641.52,744.44,25.411121,5165
2039.0,1039.9518,872.6024,16.661922,8526,668.8615,750.0,27.901089,4528
2040.0,1054.0,849.0769,27.40077,8720,671.2405,745.1772,5.3776417,4130
2041.0,1066.6329,857.5823,15.229326,8957,695.90625,752.71875,25.792934,3417
2042.0,1066.4176,886.38464,28.803173,9145,714.9796,747.30615,19.826483,2829
2043.0,1090.0358,875.25,26.111261,9465,733.8913,753.0,19.75023,2078
2044.0,1073.1089,907.099,36.067688,9921,751.43475,744.06525,19.687628,1377
2045.0,1110.4337,883.0482,44.40251,9962,768.1111,747.7778,17.08458,1050
2046.0,1101.258,890.8387,12.03678,10356,778.2973,742.0541,11.684165,702
2047.0,1092.12,898.296,11.794745,10601,791.025,742.65,12.741667,523
2048.0,1091.75,901.1667,2.8944123,10866,806.38464,743.0,15.363606,252
