frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
739.0,932.2353,528.58826,11.418834,45,659.64703,530.5294,12.321983,5
740.0,936.7778,519.0,10.609844,78,655.1194,547.65674,17.715662,9
741.0,935.7551,510.2449,8.814619,78,669.1,535.5,18.526825,30
742.0,939.05457,529.58185,19.616415,78,661.34485,535.39655,7.755817,49
743.0,946.1579,511.94736,19.011381,23,676.5469,546.4219,18.77923,107
744.0,944.82355,505.94116,6.1526313,23,680.94916,538.0678,9.443012,141
745.0,942.25,525.2,19.43004,2,679.6027,538.64386,1.464487,271
1672.0,78.129036,636.4516,0,253,918.0,583.0172,6.796952,13357
1673.0,78.32609,628.4674,7.9866233,275,956.62756,593.66895,40.06929,10646
1674.0,85.67088,640.36707,13.983844,293,951.4145,590.25,6.234206,10480
1675.0,78.44211,631.5789,11.379224,329,976.0541,589.52026,24.65039,9993
1676.0,78.065216,627.3913,4.2045484,338,1003.67834,591.2098,27.675884,8793
1677.0,97.35849,697.81134,73.01515,334,997.9315,587.13696,7.043709,7869
1678.0,86.666664,632.5238,66.15722,399,785.53845,770.7692,33.595337,7091
1679.0,87.776474,630.2471,2.532823,400,797.67786,776.91943,13.60846,6696
1680.0,95.37736,688.3585,58.606434,484,814.3758,788.5414,20.344307,5869
1681.0,84.375,639.45,50.130768,481,831.675,801.1875,21.428635,5382
1682.0,101.38356,645.65753,18.10592,481,842.4545,797.7955,11.300635,4870
1683.0,89.37363,630.3626,19.446674,502,858.1525,806.22034,17.815878,3802
1684.0,93.36667,631.9,4.278788,550,897.9568,827.15674,44.97457,2386
1685.0,94.03333,623.06665,8.858496,582,896.2857,824.54285,3.1024091,1979
1686.0,93.31765,637.05884,14.010479,584,917.8712,830.39484,22.364706,412
1687.0,95.40741,627.44446,9.838872,642,945.15515,835.319,27.724722,46
1688.0,99.23077,671.3077,44.029537,711,976.8835,833.4925,31.78086,126
1689.0,97.25373,671.6866,2.0130174,711,989.5516,840.52313,14.488286,34
1702.0,127.471695,692.717,150.13918,1172,1112.904,610.296,29.49234,4473
1703.0,125.51163,694.5349,2.6733394,964,1148.3356,613.93286,35.61768,4394
1704.0,124.97727,693.3409,1.3081456,976,1195.4333,629.48334,49.598568,3866
1705.0,123.78571,693.9286,1.328613,1136,1201.3572,633.7321,7.289984,3788
1708.0,128.68085,693.7659,150.38733,1679,1318.2933,644.0933,45.835552,2324
1709.0,131.84616,706.8461,13.457744,2042,1350.5676,658.52893,35.355576,2306
1711.0,133.65306,709.6531,164.13329,2167,1403.449,657.1347,15.092198,1491
1712.0,135.32143,711.2143,2.284917,2396,1419.9696,663.6958,17.775803,1144
1713.0,134.85,710.4,0.94088936,2467,1433.6136,669.2045,14.714143,1144
1714.0,138.6,709.8,3.7977023,2272,1467.2175,672.4466,33.759914,841
1715.0,137.14285,712.0179,2.653744,2242,1466.9302,670.3837,2.082784,586
1716.0,140.83928,712.7143,3.7614567,2323,1489.2842,678.83093,23.896793,377
1717.0,139.86885,718.2787,5.6483793,2368,1492.7201,670.7713,8.761458,377
1718.0,137.0,720.3684,3.5492592,2350,1484.6038,674.60376,8.975667,213
1719.0,139.67796,710.8983,9.84145,2318,1494.024,686.424,15.114899,96
1720.0,137.38983,715.678,5.2991247,2336,1500.3,684.5375,6.5534115,24
1772.0,187.22536,632.831,2.1921325,2546,400.54166,580.7917,41.011974,101
1773.0,188.52632,639.4211,6.7172737,2540,416.65518,571.5517,18.574797,188
1774.0,189.0,627.3182,12.112171,2585,404.07043,586.14087,19.267065,275
1775.0,183.84375,635.7656,9.896783,2795,413.4156,565.2857,22.853222,366
1776.0,183.71053,618.7895,16.976658,2601,435.1446,564.7229,21.73629,453
1777.0,182.9155,616.7324,2.2053568,2602,424.3875,568.125,11.282245,490
1778.0,185.85,644.2,27.6239,2645,461.18182,568.79224,36.80036,503
1779.0,185.60655,645.78687,1.6054198,2635,453.56042,570.6264,7.838998,677
1780.0,184.6579,630.3947,15.421357,2572,471.9403,590.6866,27.207186,698
1781.0,186.74026,629.7273,2.1867101,2475,471.48386,594.629,3.9687796,817
1782.0,189.60759,627.37976,3.7057345,2421,467.32895,577.8158,17.319008,1074
1783.0,186.4557,645.1519,18.049484,2361,469.6,580.12,3.2352796,1375
1784.0,185.42046,619.7727,25.400316,2340,457.18604,591.907,17.118402,1581
1785.0,192.04225,620.57745,6.6705174,2289,488.73914,597.7826,32.095497,1805
1786.0,196.41667,612.4583,9.222581,2253,490.0476,591.7143,6.2077646,2010
1787.0,199.1194,623.55225,11.41841,2241,471.5934,600.0659,20.256033,2618
1788.0,193.39536,625.8488,6.1675706,2214,482.96054,572.4868,29.829824,2787
1789.0,193.96,639.24,13.403073,2088,499.06897,581.65515,18.534828,3095
1790.0,196.11539,617.6539,21.69346,2031,484.57895,586.1842,15.181338,3505
1791.0,201.54286,605.17145,13.611331,1981,486.12857,601.5857,15.47925,3756
1792.0,196.05194,611.64935,8.491965,2059,508.8095,607.6667,23.481981,4338
1793.0,198.31818,603.4091,8.5461855,2083,513.04224,606.04224,4.533742,5300
1794.0,195.71187,600.05084,4.2509837,2101,511.46155,610.4231,4.6573067,5709
1795.0,195.75,594.0,6.0509624,2101,511.97467,616.36707,5.966077,6336
1796.0,195.58064,602.3226,8.324293,2026,529.56165,610.8904,18.419983,6806
1797.0,194.45,603.05,1.3444312,1910,516.9878,601.90247,15.455885,7530
1798.0,122.40845,615.2958,11.828795,1870,518.43335,582.63336,19.32325,8060
1799.0,131.16,625.68,13.580194,1864,520.19385,598.19385,15.6597595,8883
1800.0,126.57447,610.40424,15.949164,1847,549.0618,604.2062,29.487429,9346
1801.0,127.5,606.36,4.148803,1856,551.9318,595.26135,9.393974,10111
1802.0,127.58491,595.9245,10.435831,2059,543.12634,607.6737,15.218509,10848
1803.0,127.52631,597.4211,1.4977286,2230,560.56665,609.0333,17.493225,11603
1804.0,127.08197,591.59015,5.8478384,2266,554.9053,607.61053,5.8374243,12357
1805.0,126.82758,590.0172,1.593375,2323,562.2,602.2737,9.038541,13466
1806.0,125.644066,589.77966,1.2071218,2335,568.5566,607.3302,8.122458,14351
1807.0,126.76271,579.35596,10.48356,2329,579.3333,616.51514,14.159839,15014
1808.0,133.04762,600.5238,22.081165,2369,581.0,612.09375,4.7250934,15554
1809.0,130.9322,599.0339,2.5874467,2462,574.6909,616.14545,7.4980507,16593
1810.0,135.95,610.55,12.561811,2534,589.96875,622.78125,16.656712,16910
1811.0,139.45,599.45,11.638705,2580,607.93634,621.05457,18.050367,17470
1812.0,140.25,615.4583,16.028278,2233,594.81354,633.5593,18.126692,18336
1813.0,141.7742,613.4032,2.5586488,2242,609.69476,612.0632,26.144512,18351
1814.0,143.41936,611.2258,2.7290058,2236,622.1009,629.31195,21.246939,19119
1815.0,144.70312,631.3125,20.127651,2219,623.21497,621.86914,7.5257277,19838
1816.0,148.43478,614.86957,16.86106,2589,637.16504,627.26215,14.956238,19651
1817.0,146.18182,596.1818,18.823061,2593,643.7411,627.2946,6.57613,20314
1818.0,139.57895,593.3684,7.1772738,2580,635.54236,637.6017,13.170225,20974
1819.0,136.57143,605.3333,12.337105,2617,647.42725,647.5091,15.472793,21480
1820.0,138.32727,594.8182,10.660727,2557,656.1389,622.5833,26.404312,21349
1821.0,135.52942,597.8823,4.1493344,2566,645.7568,658.72974,37.607883,22021
1822.0,134.23944,604.6479,6.887445,2562,662.71155,646.78845,20.737854,21723
1823.0,136.65517,622.5172,18.031874,2020,661.9916,652.6387,5.894356,22293
1824.0,140.01639,598.13116,24.616602,2443,667.4037,651.6605,5.499791,22938
1825.0,152.48077,595.61536,12.715746,2313,688.7459,655.4262,21.671892,22866
1826.0,150.28302,612.1132,16.643606,2304,685.96155,659.4,4.8522043,23316
1827.0,149.19643,605.3036,6.8957787,2271,693.264,657.84,7.4671993,23297
1828.0,146.23729,614.18646,9.362795,2244,702.0703,660.02344,9.072972,23835
